Iteration,Z,Kp,Reward
0,3.6399999999999997,2.3671544949954213,0.13377803964103838
1,3.71,2.366309023936825,0.1381908182149103
2,3.8,2.3693579397139097,0.140311793464053
3,3.88,2.375804868456203,0.13832920468827514
4,3.9499999999999997,2.3841233615470214,0.13691022887862545
5,4.02,2.3947000990548553,0.1351958847195302
6,4.09,2.4072528241316182,0.1339865676200019
7,4.16,2.4214535633274323,0.1326746022036696
8,4.22,2.434659707875956,0.13168338635365456
9,4.28,2.448556861773917,0.13052667653810052
10,4.34,2.462881568847538,0.1302237129154786
11,4.3999999999999995,2.4773618308179692,0.1295276363656897
12,4.46,2.491722071314676,0.12892918176003593
13,4.52,2.505688410738727,0.12744398933586604
14,4.58,2.5189941459605287,0.12687912605296303
15,4.64,2.5313853136584767,0.12653465359484434
16,4.7,2.5426262042876777,0.12656097165158892
17,4.76,2.5525046858608,0.12615761277150617
18,4.82,2.560837193422369,0.12595619018392076
19,4.88,2.567473241622572,0.12565633316486627
20,4.9399999999999995,2.5722993242748027,0.12551820049486226
21,5.0,2.5752420761400043,0.12525497249877732
22,5.06,2.576270588153782,0.12486690565787463
23,5.12,2.57539778744367,0.12479705003951616
24,5.18,2.572680817153199,0.12462798999510151
25,5.24,2.568220377533896,0.1245100518299167
26,5.3,2.562159018109584,0.12408805961762466
27,5.36,2.5546784000122047,0.12366905895837843
28,5.42,2.5459955768452933,0.12280782484614142
29,5.4799999999999995,2.5363583706640482,0.12262140003874898
